INDEX	WORD	POS	DDB1	DDB2	DDB3
0	Da	KONJ	('11|013|Begrundelse', 0.9999725591350639)	('06|017|Straks', 1.0)	--
1	demonstrationerne	NOUN	('18|017|Protest, oprør', 0.9999722553616514)	('11|019|Mening, holdning', 0.9999725598880443)	('09|061|Hjælp', 0.99997933500031)
2	mod	ADP	('08|023|Styre mod, retning', 0.999949847033452)	('05|024|Modsætning', 0.9999509395084138)	('15|039|Modstand', 0.9999791818465702)
3	politivold	NOUN	('21|025|Politi', 1.0)	--	--
4	og	KONJ	('04|028|Tilføje', 0.9999154155212518)	--	--
5	racisme	NOUN	('18|004|Ideologi, styreform', 0.9999722584403695)	('18|019|Ligestilling', 0.9999722584403695)	--
6	eksploderede	VERB	('08|035|Sprede', 0.999899696582161)	('05|038|Voldsom', 0.9999018886436105)	('13|007|Fysik', 0.9999715456407922)
7	overalt	ADV	('08|035|Sprede', 0.999899696582161)	--	--
8	i	ADP	('06|004|Klokkeslæt, dato', 0.999933728751781)	('13|004|Matematik', 0.9999430896622371)	('19|008|Tøj, påklædning', 0.9999712660191943)
9	USA	PROPN	-	-	--
10	først	ADV	('08|025|Gå foran', 0.999899696582161)	('06|014|Før, tidligere', 0.999933728751781)	('05|010|Væsentlig', 0.9999509467281468)
11	på	ADP	('09|067|Middel', 0.9999380075630773)	--	--
12	sommeren	NOUN	('10|020|Begejstring, glæde, lykke', 0.9999706063901708)	('01|006|Klart vejr, godt vejr', 1.0)	--
13	,	XPUNCT	-	-	--
13	greb	NOUN	('09|022|Metode', 0.9999173417093734)	('20|008|Besidde, eje', 0.9999715472600011)	('17|018|Kampsport', 0.9999740663900415)
14	Donald	PROPN	-	-	--
15	Trump	PROPN	-	-	--
16	straks	ADV	('09|036|Hast, hastværk', 0.9998966750015499)	('06|005|Tidligt tidspunkt', 0.9999668654738237)	('06|017|Straks', 0.9999668654738237)
17	chancen	NOUN	('05|047|Skæbne, tilfælde', 0.9998528257456829)	('11|039|Forvente', 1.0)	--
18	for	ADP	('09|067|Middel', 0.9998966750015499)	('20|025|Køb, handel', 0.9999715472600011)	('03|025|Foran', 1.0)
19	at	PART	('12|025|Grammatik', 0.9999764150943397)	--	--
20	gøre	VERB	('05|040|Tilblivelse, opståen', 0.9998037580336555)	('09|020|Handle, agere', 0.9999173417093734)	('15|016|Udføre, lystre', 1.0)
